Mouse,Channel,TimeFrame,Region,Base_CSD,CNO_CSD,Delta_CSD,Base_Voltage,CNO_Voltage,Delta_Voltage,Base_Theta,CNO_Theta,Delta_Theta
M3_pten,4,GZ,CA1 SP,-10.91518010561768,-4.308721070648517,6.606459034969163,-405.4035579038983,-292.2940280268102,113.10952987708805,-0.005734652142995264,-0.004215214138159461,0.0015194380048358025
M3_pten,6,AS,CA1 SP|CA1,-0.3596547314578141,-1.373460124114186,-1.013805392656372,-293.1304781988222,-205.896928927051,87.23354927177118,-0.008084541303852598,-0.003890050119122602,0.004194491184729997
M3_pten,6,GZ,CA1 SP|CA1,17.16331862284641,13.01689558131721,-4.146423041529202,-408.9401404299784,-293.9245505411117,115.01558988886666,-0.008084541303852598,-0.003890050119122602,0.004194491184729997
M3_pten,8,AS,CA1 SP|CA1,0.9631024103224558,2.445920145826674,1.4828177355042182,-291.0452446637179,-206.3864131521222,84.65883151159568,-0.005584424983374748,-0.003365920126560597,0.002218504856814151
M3_pten,8,GZ,CA1 SP|CA1,1.477193972232411,-6.954562279485889,-8.4317562517183,-423.2383307330476,-302.1260245901639,121.11230614288365,-0.005584424983374748,-0.003365920126560597,0.002218504856814151
M3_pten,10,AS,CA1,-6.735458675580526,-6.279830737492008,0.45562793808851776,-289.6035740124602,-209.1773364224045,80.42623759005568,-0.01050763328990639,-0.004241612892383393,0.006266020397522996
M3_pten,10,GZ,CA1,-6.256193009988976,19.04296875,25.299161759988976,-437.5250598890415,-306.3489569992315,131.17610288980995,-0.01050763328990639,-0.004241612892383393,0.006266020397522996
M3_pten,12,AS,CA1,-15.4131508183962,8.30673907215739,23.71988989055359,-278.035535492208,-204.5270991028592,73.50843638934879,-0.01479329438910906,-0.003508718804501393,0.011284575584607666
M3_pten,12,GZ,CA1,-35.69402163329357,-24.71776162424397,10.976260009049604,-437.7227646760897,-326.4411967960213,111.2815678800684,-0.01479329438910906,-0.003508718804501393,0.011284575584607666
M3_pten,14,AS,CA1,24.07234509416422,-5.632535474278029,-29.70488056844225,-243.2132060462148,-211.370148929158,31.843057117056787,-0.0126034588324022,-0.003299283296690954,0.009304175535711248
M3_pten,14,GZ,CA1,24.03353246425953,9.154781218497986,-14.878751245761544,-394.1571708940714,-322.9739496616718,71.1832212323996,-0.0126034588324022,-0.003299283296690954,0.009304175535711248
